지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,16시~17시,565,502,1067,11.5,92,88.0
안산시, 55,본오동종점-오이도차고지,4,평일,17시~18시,727,668,1395,9.0,93,88.0
광명시, 1(광명),거모동-개봉역,4,평일,19시~20시,898,"1,071",1969,8.5,108,88.0
시흥시, 3200,포동차고지-강남역.역삼세무서,4,평일,07시~08시,260,136,396,22.5,84,87.0
안산시, 62,본오동종점-한라비발디1차,4,평일,09시~10시,935,"1,017",1952,8.0,108,87.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,20시~21시,359,377,736,15.0,78,86.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,4,평일,18시~19시,59,41,100,70.0,40,86.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,17시~18시,357,332,689,15.0,78,86.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,19시~20시,778,857,1635,8.0,90,86.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,09시~10시,304,337,641,15.0,67,85.0
광명시, 39,매화초등학교-개봉역,4,평일,06시~07시,198,132,330,20.5,45,85.0
광명시, 1(광명),거모동-개봉역,4,평일,15시~16시,863,842,1705,8.5,108,85.0
시흥시, 31-9,포동차고지-부천소방서.부천대학사거리,4,평일,07시~08시,163,146,309,25.0,45,85.0
시흥시, 3300,능곡공영차고지-강남역.역삼세무서,4,평일,07시~08시,278,159,437,22.5,92,85.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,17시~18시,256,200,456,27.5,104,85.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,19시~20시,546,606,1152,8.5,69,84.0
안산시, 30-2,오이도차고지-목감중심상업지구,4,평일,08시~09시,686,766,1452,12.5,128,84.0
시흥시, 23,월곶역-본오동차고지,4,평일,13시~14시,535,568,1103,12.5,99,84.0
