순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
21758,기계유통단지건너편,12641.321,3719.835,172412.06393,425750.8419,224001018,25958
21762,명칭예정지,12641.572,3719.764,172782.91729,425617.41062,224001019,25959
22288,명칭예정지,12641.855,3719.589,173199.69684,425292.48912,224001020,25960
22291,굿스틸,12642.174,3719.391,173670.1985,424925.11121,224001021,25961
22294,3Z,12642.434,3719.241,174052.47705,424645.85715,224001022,25964
22295,아남중전기,12642.629,3719.198,174340.85574,424566.40119,224001023,25963
22446,하늘휴게소,12651.304,3722.983,187167.14179,431536.69638,224001024,25997
22448,하늘휴게소,12651.34,3723.074,187220.50507,431704.74258,224001025,25998
22449,목감시티프라자.한울플러스,12651.641,3722.907,187664.17095,431396.03982,224001026,25746
22454,목감중심상업지구남측,12651.106,3722.65,186873.80534,430921.43015,224001027,25501
22455,롯데마트.대야어린이도서관,12647.486,3726.629,181546.52827,438291.72374,224001028,25507
22456,롯데마트.천향교회,12647.488,3726.642,181549.58268,438316.86778,224001029,25600
20174,영남3단지,12644.164,3721.36,176620.42586,428558.22488,224001030,25639
20178,영남3단지,12644.182,3721.373,176645.87815,428582.18073,224001031,25606
27524,충현교회,12644.162,3721.113,176615.40492,428101.14301,224001032,25638
20179,배곧연구시설,12642.391,3721.219,174001.47426,428304.02356,224001033,25669
20319,배곧도시지원시설,12642.555,3721.443,174244.41991,428718.74615,224001034,25670
20320,배곧도시지원시설,12642.575,3721.44,174274.13991,428713.6566,224001035,25671
20321,배곧연구시설,12642.425,3721.234,174051.08159,428331.68996,224001036,25672
20322,시흥대야역,12647.629,3727.036,181759.92635,439044.58093,224001037,25676
20323,시흥대야역,12647.658,3727.034,181801.70329,439041.52646,224001038,25677
20325,은계어반리더스,12647.935,3727.12,182211.23876,439199.69451,224001040,25690
20326,은계어반리더스,12647.89,3727.147,182144.5651,439248.11902,224001041,25691
20327,은행고,12648.228,3726.607,182640.91187,438249.72245,224001042,25692
20329,은행고,12648.24,3726.611,182658.22171,438256.34618,224001043,25693
20331,한울초교.이지더원2차,12642.78,3721.582,174576.94437,428975.46386,224001046,25710
20332,한울초교.이지더원2차,12642.789,3721.569,174591.11868,428950.92635,224001047,25711
20335,금형기술교육원,12641.904,3720.962,173281.07436,427831.37702,224001048,25771
20343,금형기술교육원,12641.91,3720.951,173289.15538,427812.10868,224001049,25745
20345,목감푸르지오후문,12650.632,3722.6,186174.72993,430829.96688,224001050,25778
